name,price,change
SHRIRAMFIN,644.8,5.02
CHOLAFIN,1438.0,3.74
BAJAJFINSV,1920.9,3.68
LICHSGFIN,562.55,3.46
SBICARD,836.35,2.99
SBIN,767.85,2.8
AXISBANK,1074.65,2.55
RECLTD,393.1,2.28
BAJFINANCE,8762.45,2.27
HDFCAMC,3814.5,2.21
JIOFIN,218.2,2.19
ICICIPRULI,548.65,2.19
PFC,403.45,2.13
HDFCLIFE,675.2,1.39
KOTAKBANK,2065.0,1.33
ICICIBANK,1299.85,0.96
MUTHOOTFIN,2268.5,0.63
ICICIGI,1753.6,0.53
HDFCBANK,1766.0,0.47
SBILIFE,1460.3,-0.03
